Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
hm12_CWZ3447.2,0.153336140711225,0,0.0309561467233713,0,0,0.628506384515811,0,0.0370653228700208,0.0119918694870427,0.0399566964109489,0.0699939642693463,0,0,0,0,0.0590265505900824,0,0.00925181336887864,0,0.0432349414439144,0,0,0.992,-0.0725668079503275,1.16544587108651,1.08331983039064
hm13_CWZ3447.2,0.138384828998473,0,0.0259785921104419,0.0683472083989502,0,0.0509410408518585,0.0744012334417706,0,0,0,0,0.00766876201273674,0.177637961668285,0.0300835079341964,0.0782071697716923,0.500594559757021,0,0,0.32085051273578,0.0236510104212183,0,0,0.002,0.249712874235695,0.98458329071958,1.49674638810242
hm20_CWZ3447.2,0,0.0472686290431078,0.321604536304623,0,0.081664470044693,0,0,0.0408840170930745,0.129007783657647,0,0.00277248238347045,0,0,0.269887732877794,0,0,0,0.103083802711454,0.183174639406692,0,0.00560604247711967,0,0.966,-0.0301249189164211,1.11367095263636,1.18495413599968
hm24_CWZ3447.3,0.141008182891515,0,0.0330199002933191,0,0,0.509007240701306,0,0.0926004086007099,0,0,0,0.070731327801499,0.0869010853343637,0,0,0.0173485351575621,0,0.0625990599653654,0.00588705375988234,0,0,0,0.998,-0.140504450660489,1.17857694565258,1.01910279450552
hm25_CWZ3447.3,0.291580709264103,0,0.115654883732697,0,0.091260784289514,0,0,0.00702143641445969,0,0.0362347019101473,0.103045707042412,0,0,0.448053828967741,0,0,0,0,0,0.0208687398756737,0.000844009690310807,0,0.748,0.020697358691357,1.1143217490858,1.11456480118706
hm27_CWZ3447.2,0,0.293365599285697,0,0,0,0.415663996202847,0.0451054037627016,0.0810652812828054,0,0,0.014275921340516,0,0.0392007608800147,0,0.139319935840228,0.210821351683029,0,0,0.21316166341948,0.00544922354281209,0.00378290336481716,0,0.096,0.129637835711609,1.02842592794942,1.46121204060495
hm30_CWZ3447.2,0,0.400397732365284,0,0.0641329911731701,0,0.607588564568613,0,0.0913402985504418,0,0,0,0.0355169455907912,0.0337572965025061,0.0164798001166506,0.0467666987933521,0.0250225185568687,0,0.0155408201737791,0.186629826261019,0,0.00623123483588999,0,0.01,0.177952698506239,1.02518453687857,1.52940472748837
hm32_CWZ3447.2,0.150462656158654,0,0.0165031970066539,0.217674968293608,0,0.444786881217319,0.241412058312999,0,0,0,0,0.048417715504155,0.185485901867036,0,0.0603296391983623,0.730896402256584,0.0103752547099709,0.0838168444310568,0.0867651224394056,0,0.00152524102591927,0.00501528745523418,0,0.429342893761284,0.903111213843607,2.28346716987696
hm33_CWZ3447.3,0.143922583275313,0,0.0165195187050643,0,0,0.487688764008386,0,0.000311851773893095,0.0789291096285357,0,0.126847622721975,0,0.0279588499106224,0.0303393988588746,0,0.0465551670368512,0,0.10491328757633,0,0.0959317839904859,0.013974084304533,0,0.992,-0.071570736441044,1.1294149022271,1.17389202179086
hm34_CWZ3447.3,0,0.294565528637613,0,0,0,0.584252987596219,0.203946812995508,0.140098102337488,0,0,0.202054905203836,0,0.124190409150684,0.0648043042951106,0.132760129114985,0.257926095595625,0,0.15849378749595,0.0906281745899041,0,0,0.0153035403497471,0,0.400666271772136,0.915497998372272,2.26902477736267
hm35_CWZ3447.3,0.136081250480261,0,0,0,0,0.158263000552402,0.0126964788773951,0,0.0774299843812148,0,0.0751469298663135,0,0,0.281567720997451,0.0359283667676785,0.158416116256266,0.121126599045599,0.0144720402146353,0,0.10698144327636,0,0,0.78,0.0178736940395116,1.08629233968362,1.17810993071558
hm38_CWZ3447.3,0,0,0.0859160548779558,0,0,0.374774279248605,0,0,0.00190779633096881,0.110007198962777,0,0,0,0.127168294879285,0.0223110622511083,0,0.11906658024809,0,0.0315892973393382,0.00559316034718227,0.148642416815066,0,0.998,-0.104863435146689,1.12388554320128,1.02697614130038
hm4_CWZ3447.2,0.0776323163389745,0,0.0773514484834061,0,0.136511317130034,0,0,0.166913236269841,0,0,0.133509957255513,0,0.0452878920972467,0.356805901212838,0,0.109097751008185,0,0,0,0.0922180537823241,0,0,0.798,0.0157140199860555,1.09186705403692,1.19532787357836
hm40_CWZ3447.3,0.141539548760037,0,0,0,0.145440558110195,0.09924433223278,0,0.0360374836231326,0.00170403754089726,0,0.0899544857914111,0,0.189699596781027,0.10273399966216,0.0187946783149529,0.19350235474648,0,0.0904883032530177,0.0184367985131892,0.0992278993348641,0,0,0.402,0.0708934312025687,1.04996908636492,1.22680407666414
hm41_CWZ3447.3,0,0,0.0223075735095931,0.0846261912827728,0,0.549205594457934,0.138383887903365,0.0455120600733331,0,0,0.0228340219700276,0.015020744367943,0.0485636172335897,0,0.102745129906503,0.183772030809644,0.0912300911680725,0.111316492858679,0.0147678739732692,0,0.0351402823994154,0,0.088,0.135020637919106,1.03475771422008,1.46542559191414
hm42_CWZ3447.3,0,0.0490547821082121,0.00230023030173165,0,0.101643590547374,0.442161656931286,0,0,0.0968333905761655,0,0,0.173799088703273,0.0843449127663843,0,0,0,0,0,0.144892421558184,0,0,0,0.998,-0.119185939543386,1.18856859837264,1.09503007349261
hm43_CWZ3447.2,0,0.250848556165964,0,0.373590310838113,0,0.400710393324474,0,0.0637558357966541,0.0280811283680335,0,0,0.079653616314068,0.000100935428381826,0.0128347859576351,0.0209165699492831,0.0785088674517086,0,0.00844146816287183,0.271218356889977,0,0,0.00126332692994061,0,0.284142649588488,0.979610774941064,1.5899241515771
hm44_CWZ3447.2,0,0.319387924245723,0,0.0251857682017544,0,0.545422115810492,0.149947470255571,0.0489043168719268,0,0,0.0592608399324137,0,0.0388630857733644,0,0.0272487929058058,0.415784207520989,0,0.0217101197089578,0.200983689277717,0.0173549459280256,0,0,0.002,0.262184990856821,0.973104890790346,1.87005327643274
hm45_CWZ3447.2,0.171912792872094,0,0.0717865814474024,0,0,0.353266512273356,0,0.0801987883331917,0.208314512546483,0.0509456179049461,0,0.0897934408885859,0,0,0,0.0733976803220944,0,0.0413148897188957,0,0,0,0,0.998,-0.102885109585197,1.16459153519438,1.14093081630705
hm46_CWZ3447.3,0,0.114311180424366,0.0922438516425512,0,0.174792557042399,0.144990508548446,0,0,0.108071612577994,0,0.243144691074038,0,0.0349308153807591,0.154909091414693,0,0,0,0.010639182646228,0,0.0297967571798152,0.084853385799183,0,0.968,-0.0340117304809932,1.109088518221,1.19268363373047
hm47_CWZ3447.3,0,0.0107898855085084,0.090025052791498,0,0.0417253007976204,0.177716725771258,0.0548346036988369,0,0,0,0.0305969773269583,0,0.036826660114135,0.165278992261477,0.0012421998309802,0.222333096797413,0.241909590760581,0,0.0221021094026092,0.119618695575739,0,0,0.272,0.0909202195743231,1.05009023627868,1.21499989063761
hm48_CWZ3447.3,0.0584342182607542,0,0.000695581006955716,0.0642601109135302,0,0.351515042760613,0.0161895275093445,0.0117222928622895,0,0,0.0679679686613934,0,0,0.287210182271959,0.173456045747593,0.375448244501597,0.0938791161961583,0,0.00478177765030851,0,0.05355584500877,0.137640188855605,0,0.358645127601229,0.938060925445157,1.69675614220687
hm49_CWZ3447.3,0.0547988836691193,0.0183827857163129,0.0267668658760024,0.0697872169306908,0,0.58391603336591,0.0478093139816036,0.158126628127202,0,0,0,0.150581261757925,0.0368378343481231,0.122844703601101,0.13445263972736,0.0736533247199179,0,0.129870024318106,0.00735078295943323,0,0.00154105119873946,0,0,0.285383542574096,0.978147116731222,1.61671935029755
hm50_CWZ3447.2,0.23456110680539,0,0.0834476031463351,0,0.0145047752459955,0.133096700465182,0,0,0.0153374860045572,0,0,0.112898957127536,0,0.438002863170844,0,0.0281023365348142,0,0,0.130568046154666,0,0,0,0.544,0.050332692643929,1.0864777189061,1.19051987465532
hm51_CWZ3447.3,0,0.0872963795032297,0.113788270829573,0,0,0.240560699745141,0,0,0,0,0.00647877536836926,0.111335999856879,0,0.104281781072883,0,0.0686865449808106,0,0.160166750520292,0.235330361694442,0,0,0,0.988,-0.059289448782408,1.10366704778873,1.12792556357162
hm52_CWZ3447.2,0,0,0.0722233852992958,0,0,0.520166084641623,0,0.018087585671032,0,0,0.149997090759415,0,0,0.206726273950061,0,0.114521558818651,0,0.168007976920195,0,0.142323017462735,0,0.103552605782223,0.012,0.171818806513863,1.01980593356735,1.49560557930523
hm53_CWZ3447.2,0,0,0.0547124992960464,0,0.0386639058754534,0.15491625475277,0,0,0.1146114348099,0,0.032995975592708,0,0,0,0,0.0308090310065862,0.101093294179072,0.0365630611188383,0,0.323494570966363,0.136214337025198,0,0.994,-0.0759359894147,1.15363182320993,1.02407436462294
hm54_CWZ3447.3,0,0.051204166033347,0.0128103076706812,0.00219831058172102,0,0.19845378742788,0.147304936100575,0.144914471385674,0,0,0.0118085972634589,0.0485743263159484,0.0199729875651398,0.207199322081789,0.18367625328696,0.181961337978389,0,0.318551460688036,0.000133769827754776,0.0236682784588253,0,0.0672507908922938,0,0.376764820872302,0.931597982904857,1.61968310355847
hm55_CWZ3447.3,0,0.087251859065887,0,0.202577521482783,0,0.399811931339899,0.0725144917090927,0.068320879185345,0,0,0.121986975879805,0,0.0877901311601931,0.0962699509266441,0.0269102064248211,0,0.0404605439900443,0,0,0.120632075786483,0.00360860272661625,0,0.544,0.0501874255957969,1.08365115675683,1.32813516967761
hm56_CWZ3447.3,0.229938625067766,0,0.0618270200124101,0,0,0.247481074890594,0,0.192740576937642,0.00596016031163385,0,0.061072976811413,0,0.122402300088228,0.00422823673493045,0,0,0,0.0677283766084479,0,0.0683753045185546,0.0853455659599707,0,0.994,-0.0770564572642639,1.11424668843414,1.14710021794159
hm6_CWZ3447.3,0.122797717632056,0,0.00688535307466197,0.163058783178074,0,0.421910816601329,0,0.144417173377585,0,0,0,0.0823010700270026,0,0,0,0.0594411879258304,0,0.110109921075519,0,0.0185889071057651,0.0997745566655528,0,0.918,-0.0143246775134651,1.12400555445557,1.22928548666338
hm60_CWZ3447.3,0.412169176053257,0,0.0752643123893174,0,0.1649778909014,0,0.143516094199012,0,0.131107446196964,0,0,0,0.0174148839362442,0,0,0.16288713146471,0,0.0210602525948299,0,0.00872600162864887,0.0106829915351934,0,0.97,-0.0375469485445615,1.11706507579106,1.14780618089958
hm67_CWZ3447.3,0,0,0.00756720065199647,0,0,0.167248050468757,0.0825597826689027,0.0279644341235684,0,0,0.140910505800462,0,0,0.436759043051861,0,0.130654696459339,0,0.268032983129556,0,0.107414484481796,0.0205005795776557,0.0338755268507962,0.004,0.213709547914265,1.01791001645791,1.42348728726469
hm7_CWZ3447.3,0,0.0462582267337563,0.286837289046633,0,0,0.152870524063778,0.0340931129325502,0,0.104582670138056,0.171731803192047,0.0671666058134875,0,0,0.0348393111600943,0.015224070336207,0,0,0,0,0.118255847961807,0.0247020384556022,0.0455203720122534,0.998,-0.087594952794028,1.14732655396774,1.10208187184627
hm70_CWZ3447.2,0.224481448303476,0,0.0268058475999516,0.344652673211875,0.00657233228025742,0.129874378163883,0.138538670153278,0,0,0,0,0.0938866203911326,0,0,0,0,0.0518380807321534,0.0341092294257821,0,0.157356129652941,0,0,0.416,0.069361345116218,1.08982566186939,1.20811540991473
hm71_CWZ3447.3,0.082781474656964,0,0.0206430226907371,0.0497267492312314,0,0.19251363674386,0.0211083950145826,0,0.0738294987061605,0,0.0909810599717027,0,0,0.322222427520816,0,0.197268192367086,0.0889404578168409,0.122273042876597,0,0.118976431975131,0.00202703645863809,0.0211486216252501,0.03,0.15678418285628,1.02727512130671,1.4044400476556
hm8_CWZ3447.3,0,0,0.0340214990885517,0,0.508443279097123,0,0,0,0,0,0.0803213963244591,0.0305330395170225,0,0,0,0.176499152491595,0.205818767175649,0.0403726076294469,0,0,0.0873777583458914,0,0.992,-0.0732349219026777,1.12205196705175,1.16338749966974
hm9_CWZ3447.3,0.267030456531462,0,0.193166125850977,0,0.232724271950844,0,0,0,0.106085297445333,0,0.0596924608858589,0.084266639204692,0,0.111687598146587,0,0,0.058041548640483,0.11629994033609,0.00788321021380889,0,0,0,0.946,-0.0217451087833029,1.10437620560432,1.23687754920614
hm1_CWZ3447.4,0.256044295718263,0,0.101149964237317,0.209118792534476,0,0.139393258188373,0,0.114421543024526,0.0376927203934829,0,0,0.0258804604755784,0.0352510677625447,0.0613494328658417,0,0,0,0,0,0.0912920085399062,0,0,0.986,-0.0530336718599187,1.12934752998317,1.07159354374031
hm10_CWZ3447.4,0,0.377642519391552,0.124234028567851,0,0.188714669850093,0.349220910791064,0.101082344758755,0,0,0,0.0663322035553228,0,0.0644953909377135,0,0,0.224699871784982,0,0,0,0.0808998539506166,0,0.0445701167457292,0.00800000000000001,0.187089091522518,1.00774119916332,1.62189191033368
hm11_CWZ3447.4,0,0.0537605725967939,0.00572709645683401,0.0503617951548331,0,0.353144016972344,0.100905785266326,0.121375575219213,0,0,0.016131067208226,0.0169127647411734,0.0346922958118736,0.100949144219664,0.192659017046743,0.190482507285459,0.0566090337673435,0.0541872140021075,0,0.00320919517928225,0,0,0.004,0.203949158290108,1.00877854771284,1.35110708092822
hm14_CWZ3447.4,0.16765771917658,0,0.172480474969589,0,0,0.329626769281254,0,0,0.101796558198678,0,0,0.059155295416857,0,0,0,0.0352410492139833,0,0.0011691945596843,0.176233619222867,0.106574563916557,0,0,0.96,-0.0277670832127584,1.11434743118986,1.14993524395605
hm15_CWZ3447.4,0,0.209210004897592,0,0,0,0.209527225100671,0,0.100834519408747,0,0,0,0.117399237564424,0.00902851123844897,0,0.0252821532922931,0.26456791821948,0,0.280912579332946,0,0.0509486984222963,0,0,0.934,-0.0181133565077765,1.10127675500891,1.2677108474769
hm19_CWZ3447.4,0.0826848600833542,0,0.0614716422903762,0.378672976402677,0,0.0405945801582628,0.0751088899534476,0,0,0,0.060848454449075,0,0.0114441944611934,0.164672357496952,0.308078388720963,0.68640990382476,0,0,0,0.0745533639561436,0,0.0182280833209776,0,0.447743734796554,0.894133211340423,1.96276769511818
hm2_CWZ3447.4,0.00271174683983404,0,0.0412301770796376,0.2170607564051,0,0,0.149955667860346,0.117633974146206,0,0,0,0.124924705756207,0.0256662389841323,0,0.213276699345377,0.0599057141725619,0,0.197611832942684,0,0.046202930100967,0.0495798699192395,0,0.012,0.174667329718399,1.05373765648245,1.24576031355229
hm21_CWZ3447.4,0.155056629833861,0.340254852803054,0,0,0,0.62877218847597,0.156242510369194,0.202380922286395,0,0,0.0957026838089949,0,0.0523232531213134,0.0547221491946019,0.1132437657629,0.15537736361106,0,0.172097441007251,0.0148263656906258,0,0,0,0,0.409992454406542,0.911610844893613,2.14100012596522
hm23_CWZ3447.4,0.089061633320199,0,0.100848185804085,0.0264359936695698,0.0466366760962135,0.23400664759929,0.0406585210859997,0.162023974850667,0.0234819818959556,0,0.06088884765943,0.0130765885144723,0.0146517091152425,0.228170308811554,0.200933042870986,0.256799875438669,0,0.0121295428821368,0.0852469598512561,0,0,0.0215582495799947,0,0.271820433007266,0.972389071602345,1.61660873904572
hm26_CWZ3447.4,0.0786610161018934,0,0.00140748995400033,0.137233049620746,0,0.0993292034720231,0,0.0168112001966095,0.0592425927106455,0,0,0.054955605611295,0.0294978668165438,0.303361710090781,0,0.0116455080184821,0.0796677853175339,0.0738630153893266,0,0.0723743491718086,0.0300227012614666,0,0.976,-0.0394567451257023,1.11574995814818,1.04807309373316
hm29_CWZ3447.4,0.149364943136708,0,0.079046445058928,0.0122631646104803,0.0227418635086445,0.406745131865837,0.0768264155396783,0,0,0,0.153927840079252,0,0.0392597208294236,0.162678713667465,0,0.172709307614149,0,0,0,0.0554385737891525,0.00263096872118861,0,0.226,0.100517652846951,1.04434959389204,1.33363308842091
hm3_CWZ3447.4,0.100201265771271,0.456572337762499,0,0,0.0968704046026037,0.304659948995034,0.0547790532172922,0.073167473864221,0,0.0284804660654303,0,0,0,0.119135465617601,0.125654665263775,0.0964591081699904,0,0,0,0.0471283410901697,0.00878541656772829,0,0,0.273971680942725,0.977819602824138,1.51189394698762
hm36_CWZ3447.4,0.36705632692756,0,0.0109269396502754,0.172361258791785,0,0.135236855485331,0.0955967181481699,0.00201617540536718,0.0313889026097642,0,0,0,0.0586924726561653,0.152817054061768,0,0.0296380278828606,0,0.137934623046119,0,0.0673619766602208,0.0685604655553934,0.0683875164347297,0.626,0.0390291916025541,1.06738550877314,1.39797531331551
hm37_CWZ3447.4,0.0780540826037174,0,0.0226993372350716,0,0,0.209255343644854,0,0,0.0493849721963962,0,0.0511864412151232,0,0,0.515656300487336,0,0.109309814179778,0,0,0.0931730203734953,0.00907536587596631,0,0,0.132,0.119393175570955,1.07461955297005,1.13779467781174
hm39_CWZ3447.4,0.173761679363398,0,0.0480946207609931,0.080358075361593,0,0.0681247232446151,0,0.00415752559175404,0.0705761787020844,0,0.0498251722623587,0,0,0.235008860460205,0.0662389106364532,0.348164304699182,0,0,0,0.0764597583876534,0,0,0.00800000000000001,0.190415440468761,1.0147941332546,1.22076980947029
hm58_CWZ3447.4,0.151732125642921,0,0.1673559110242,0,0.0597412273021927,0.201950083764837,0.124338019711067,0,0,0,0,0,0.0516048528849264,0.0194928351166725,0.0042600619979707,0.48499059093158,0,0,0,0,0,0,0.286,0.0884756543956974,1.04933241729607,1.26546570837637
hm59_CWZ3447.4,0,0,0,0.222109117762593,0,0.127648300875075,0.0926381842703617,0,0,0,0,0.0701649077519727,0.00382825204776271,0,0,0.342583320981335,0,0.108193089122205,0.258214312463311,0,0.0600983968437918,0,0.932,-0.017463865792851,1.08989084122011,1.28547788211841
hm61_CWZ3447.4,0,0.175043761184291,0,0.195859041125797,0,0.0751360965977895,0.125230918515583,0.130907741009761,0,0,0.07858792230649,0,0.0364826512309601,0.063756971015317,0.136551878316853,0.226366168478036,0.0780924464687222,0.0376807418162904,0.0491868243509973,0,0,0,0.142,0.116458170098486,1.03181050701462,1.40888316241689
hm62_CWZ3447.4,0.222635922435048,0,0.0156726299352741,0.164078029131658,0,0,0.0702082731974555,0,0.110816267397268,0,0,0,0,0.00528170039742224,0,0,0.264393182804,0.0297956592222884,0,0.161206633034429,0.0115012163763658,0,0.986,-0.0548441542989461,1.10630157952144,1.05558951393121
hm63_CWZ3447.4,0.223776209550527,0,0.0993782934220146,0,0.36431971354306,0,0,0,0.0494722886070604,0.0832688499003263,0.0506930685254376,0,0,0,0,0.202675457030429,0,0,0,0.109170722364983,0.00955103316719777,0,0.948,-0.0233076084990251,1.1008963833737,1.19230563611103
hm64_CWZ3447.4,0.214949271270642,0,0.178657962825778,0,0.217531057155957,0,0,0,0.0540307511777655,0.0949140694420997,0.1170705814743,0,0,0,0,0,0,0,0,0.235022769630496,0,0,0.99,-0.0602348452683946,1.14699888639943,1.11217646297704
hm65_CWZ3447.4,0,0.0200356566162529,0.194321712393965,0,0,0.153587861465266,0.128230904855398,0.112759329688745,0,0.173696198194674,0,0,0,0,0,0,0,0.176916766019399,0.226107308950387,0,0,0,0.994,-0.0793280260913222,1.11692115898011,1.18565573818409
hm66_CWZ3447.4,0,0.212079148864705,0.085363130701271,0.20222906074492,0,0,0.142435354734421,0.0627724931066353,0.0457013017477878,0,0.0278368951778083,0,0,0.0433139773222923,0.189289448269482,0.148017427613495,0,0,0,0.0555989931835221,0,0,0.816,0.011255931727111,1.0874636701596,1.21463723146634
hm69_CWZ3447.4,0,0.125725941299862,0,0.0129102336662961,0,0.476597835357225,0.0551075296963197,0.1239684318567,0,0,0.139770204145773,0,0.0597464283676161,0,0.0664715245264189,0.218187418676649,0,0.0765738803494757,0,0.179328330684705,0,0.102088517109735,0.002,0.220827640190306,0.994446615646075,1.63647627573678
X298_CWZ3517.1,0.267023048792515,0,0.0619976726794384,0,0.0589504002019903,0.24441357516833,0,0,0,0,0,0.030152802854993,0,0,0,0.216826624772078,0.124376725648085,0.137807640040094,0.0312733327338328,0,0,0,0.836,0.00715835049265551,1.07695372597803,1.17282182289136
X299_CWZ3517.1,0,0.380274019766974,0,0,0,0.3680169863343,0.0851413723974228,0.0460750340536324,0,0.00820813389556009,0,0.0340822293090853,0.0630853872614276,0.086012912812129,0.0654826435297907,0.186341589543302,0,0.103136261006629,0.204391605233354,0,0,0,0,0.324309806823905,0.947132400285407,1.63024817514361
